#Format: Slots,Skill1,Points1,Skill2,Points2
0,Exhaust C+,8,,
0,Cold Res,10,,
0,Sleep C+,8,,
1,Poison C+,5,,
0,Perception,8,,
0,Spd Gather,7,,
0,LastingPwr,8,,
0,Normal S+,6,,
0,Heat Res,10,,
0,Gathering,9,,
0,Mounting,10,Frenzy Res,2
0,Sharpener,4,Blast S+,4
1,Dragon Res,6,Maestro,7
0,Clust S+,6,SpeedSetup,-9
0,Blast S+,5,Expert,6
0,Dragon Res,1,Gluttony,12
2,Crag S+,5,Health,-2
2,Normal S+,4,Bomb Boost,-4
0,Pellet S+,1,Precision,10
0,Dragon Atk,5,Fire Res,7
0,Constitutn,5,Status,3
0,Def Lock,7,Normal S+,5
0,Potential,5,Attack,7
0,Bomb Boost,3,Poison,7
1,Rec Level,6,,
0,Wind Res,2,Poison,7
2,Slicing S+,4,Frenzy Res,2
1,Def Lock,5,,
2,Slicing S+,6,,
2,Fire Atk,3,Fire Res,-5
2,Water Atk,7,,
1,Wide-Range,6,Def Lock,-5
0,Expert,4,Stun,4
0,Water Res,1,Heat Res,9
0,ThunderAtk,4,Crag S+,5
0,Flame Aura,5,Slicing S+,8
0,Tremor Res,6,Blast S+,7
0,Blast C+,1,Mud/Snow,8
0,TeamPlayer,2,Crag S+,8
0,Guard,2,Sense,5
0,Tenderizer,2,Dragon Atk,4
0,Sheathing,3,Guard,1
0,Status,1,Sharpener,7
0,Stam Drain,4,Pellet Up,1
1,Eating,4,Rec Speed,1
3,Hearing,1,Sheathing,1
0,Wind Res,3,Fire Res,7
0,Sharpness,1,Water Res,9
0,Pellet Up,1,Gloves Off,4
0,Sheathing,1,Eating,2
1,Recoil,1,Water Res,8
0,Guard,1,Attack,7
1,Hearing,4,,
1,Gloves Off,4,Fire Res,5
3,Normal Up,1,Guard,1
1,TeamPlayer,5,Charmer,2
0,Stam Drain,3,FastCharge,2
2,Hearing,1,Dragon Res,9
2,Sheathing,3,Ice Res,3
1,Stam Drain,2,Sharpener,5
0,Potential,5,Destroyer,1
0,TeamPlayer,2,Artillery,8
0,Rec Level,2,Evasion,3
0,Pellet Up,2,Wide-Range,8
0,Constitutn,6,Ice Res,-3
1,TeamPlayer,3,Expert,3
0,Tenderizer,1,Normal Up,3
0,Eating,1,Normal Up,3
3,Stam Drain,3,Normal Up,-1
3,Water Atk,2,Stam Recov,1
2,Evasion,2,Artillery,3
2,Gloves Off,2,Protection,5
3,Normal Up,5,Psychic,-3
0,TeamPlayer,4,Ice Atk,13
0,FastCharge,5,Guard Up,2
0,Charmer,6,Artillery,7
0,Sharpness,4,Destroyer,3
0,Water Atk,6,Dragon Atk,8
0,Gloves Off,6,Defense,7
0,Tenderizer,5,Pellet Up,2
3,Protection,6,Potential,4
0,Blight Res,5,Health,9
0,Stamina,5,Gloves Off,4
0,Reload Spd,4,FastCharge,2
2,Guard Up,5,Rec Level,3
0,Gloves Off,5,Rec Speed,11
0,Stam Drain,6,Dragon Res,13
0,Status,6,Sharpness,3
2,Status,2,Attack,6
3,Sharpness,3,Maestro,2
0,Destroyer,3,Ice Res,12
2,Dragon Atk,7,Pierce Up,2
2,Guard Up,3,FastCharge,3
2,Fire Atk,2,Guard Up,4
2,Flame Aura,5,Sharpness,3
3,Pierce Up,5,Constitutn,1
3,Guard,6,Stun,-9
0,Normal Up,5,Sheathing,2
3,Status,5,TeamPlayer,7
2,Reload Spd,5,Dragon Res,2
3,Stam Recov,5,,
3,Fire Atk,5,Water Atk,-5
1,Eating,5,Defense,1
2,Recoil,5,,
3,FastCharge,5,,
0,Frenzy Res,5,FastCharge,3
2,ThunderAtk,4,Potential,4
3,Sharpness,3,Guard Up,3
0,Frenzy Res,5,Status,3
3,Tenderizer,5,Destroyer,-2
0,Stam Drain,5,Artillery,10
0,Tenderizer,5,TeamLeader,9
0,KO,3,ThunderAtk,12
0,Water Atk,4,Sheathing,3
0,FastCharge,2,Artillery,10
0,Recoil,5,Bomb Boost,5
3,Ice Atk,6,,
3,Ice Atk,5,Stun,2
0,KO,5,Eating,3
3,Guard Up,6,Ice Atk,3
2,Status,6,Gloves Off,4
0,Dragon Atk,6,Rec Speed,9
0,Blight Res,5,Sheathing,3
2,Evasion,6,,
2,Recoil,4,Hunger,7
2,Ice Atk,5,Hunger,8
0,Charmer,7,Ice Atk,9
0,Dragon Atk,6,Water Atk,10
3,Wind Res,2,Stun,10
1,Guts,2,Pierce Up,1
2,Mounting,7,,
2,Guard,7,,
0,Fire Atk,4,Fire Res,11
0,Tranquilzr,4,Expert,4
1,Ice Atk,7,Pierce Up,1
1,Frenzy Res,5,Normal Up,1
0,Recoil,6,Wide-Range,-3
0,Pierce Up,5,Evade Dist,1
0,Frenzy Res,2,Artillery,9
0,Ice Atk,6,Spirit,2
0,Destroyer,3,SpeedSetup,6
1,ThunderAtk,5,Guts,1
2,Normal Up,3,Fate,2
1,Spirit,3,Dragon Atk,3
3,Sheathing,5,Tranquilzr,-1
0,Pierce Up,3,Hearing,3
1,Elemental,4,,
2,Constitutn,5,Pellet Up,-1
1,Fate,4,Expert,1
2,PunishDraw,3,,
0,Stam Recov,5,CritElemnt,2
2,Loading,2,Guard Up,1
2,Carving,3,Fire Res,-5
0,Eating,6,,
1,Fate,3,Poison,3
1,Tranquilzr,4,,
1,Elemental,3,Artillery,2
0,Guard Up,6,Tenderizer,2
0,Survivor,4,Reload Spd,1
0,Sharpness,4,Attack,6
